[Execution Detail]
ID | LINE | TYPE | Rs(Phy) | Rt(Phy) | Rd(Phy) | Activelist# | BranchMask | MemoryAddress | Status
00 |    00 |     I |         01 |        02 |        32 |            00 |           0000 |      0x00000000 | Committed
01 |    00 |     I |         01 |        02 |        33 |            01 |           0000 |      0x00000000 | Committed
02 |    00 |     I |         01 |        02 |        34 |            02 |           0000 |      0x00000000 | Committed
03 |    00 |     I |         04 |        05 |        35 |            03 |           0000 |      0x00000000 | Committed
04 |    00 |     I |         07 |        08 |        36 |            04 |           0000 |      0x00000000 | Committed
05 |    00 |     L  |         07 |        08 |        37 |            05 |           0000 |      0x00000000 | Committed
06 |    00 |     I |         07 |        08 |        38 |            06 |           0000 |      0x00000000 | Committed
07 |    00 |     L  |         38 |        16 |        39 |            07 |           0000 |      0x0000ffff | Committed
08 |    00 |     I |         39 |        18 |        40 |            08 |           0000 |      0x00000000 | Committed
09 |    00 |     I |         39 |        18 |        41 |            09 |           0000 |      0x00000000 | Committed
10 |    00 |     S  |         41 |        41 |        00 |            10 |           0000 |      0x00001234 | Committed
11 |    00 |     L  |         01 |        02 |        42 |            11 |           0000 |      0x00000000 | Committed
12 |    00 |     S  |         02 |        42 |        00 |            12 |           0000 |      0x00000008 | Committed
13 |    00 |     I |         02 |        02 |        43 |            13 |           0000 |      0x00000000 | Committed
14 |    00 |     L  |         01 |        43 |        44 |            14 |           0000 |      0x00000000 | Committed
15 |    00 |     L  |         01 |        43 |        45 |            15 |           0000 |      0x00000000 | Committed
16 |    00 |     S  |         43 |        45 |        00 |            16 |           0000 |      0x00000008 | Committed
17 |    00 |     I |         43 |        43 |        46 |            17 |           0000 |      0x00000000 | Committed
18 |    00 |     I |         46 |        46 |        47 |            18 |           0000 |      0x00000000 | Committed
19 |    00 |     L  |         01 |        46 |        48 |            19 |           0000 |      0x00000000 | Committed
20 |    00 |     S  |         46 |        48 |        00 |            20 |           0000 |      0x00000008 | Committed
21 |    00 |     I |         46 |        46 |        49 |            21 |           0000 |      0x00000000 | Committed
22 |    00 |     L  |         01 |        49 |        50 |            22 |           0000 |      0x00000000 | Committed
23 |    00 |     I |         49 |        49 |        51 |            23 |           0000 |      0x00000000 | Committed
24 |    00 |     S  |         51 |        50 |        00 |            24 |           0000 |      0x00000008 | Committed
25 |    00 |     I |         51 |        51 |        52 |            25 |           0000 |      0x00000000 | Committed
26 |    00 |     L  |         01 |        52 |        53 |            26 |           0000 |      0x00000000 | Committed
27 |    00 |     I |         52 |        52 |        54 |            27 |           0000 |      0x00000000 | Committed
28 |    00 |     S  |         54 |        53 |        00 |            28 |           0000 |      0x00000008 | Committed
29 |    00 |     S  |         54 |        53 |        00 |            29 |           0000 |      0x00000008 | Committed
30 |    00 |     I |         54 |        54 |        55 |            30 |           0000 |      0x00000000 | Committed
